Title,Year,Rating,Casts,Director,Adjusted score,Synopsis,Census
The Terminator,1984,100,"Arnold Schwarzenegger,  Linda Hamilton,  Michael Biehn,  Paul Winfield",James Cameron,106236.0,"Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill...","With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks."
Gladiator,2000,77,"Russell Crowe,  Joaquin Phoenix,  Connie Nielsen,  Oliver Reed",Ridley Scott,84916.0,"Commodus (Joaquin Phoenix) takes power and strips rank from Maximus (Russell Crowe), one of the favored generals of his predecessor...",Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.
Kill Bill: Vol. 1,2003,85,"Uma Thurman,  Lucy Liu,  Vivica A. Fox,  Michael Madsen",Quentin Tarantino,92325.0,"A former assassin, known simply as The Bride (Uma Thurman), wakes from a coma four years after her jealous ex-lover...",Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.
The Professional,1994,74,"Jean Reno,  Gary Oldman,  Natalie Portman,  Danny Aiello",Luc Besson,77153.0,"Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive...",Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's L̩on is a stylish and oddly affecting thriller.
Speed,1994,94,"Keanu Reeves,  Dennis Hopper,  Sandra Bullock,  Joe Morton",Jan de Bont,98544.0,Los Angeles police officer Jack (Keanu Reeves) angers retired bomb squad member Howard Payne (Dennis Hopper) by foiling his attempt...,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock."
Drunken Master II,1994,84,"Jackie Chan,  Ti Lung,  Anita Mui,  Kar-leung Lau",Chia-Liang Liu,85532.0,"From a land where honor and tradition reign, comes the legend of a martial-arts hero unlike any other -- the...",Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.
John Wick,2014,86,"Keanu Reeves,  Michael Nyqvist,  Alfie Allen,  Willem Dafoe",Chad Stahelski,95246.0,Legendary assassin John Wick (Keanu Reeves) retired from his violent career after marrying the love of his life. Her sudden...,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise."
"Crouching Tiger, Hidden Dragon",2000,97,"Chow Yun-Fat,  Michelle Yeoh,  Zhang Ziyi,  Chen Chang",Ang Lee,103085.0,"In 19th century Qing Dynasty China, a warrior (Chow Yun-Fat) gives his sword, Green Destiny, to his lover (Michelle Yeoh)...","The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama."
Predator,1987,82,"Arnold Schwarzenegger,  Carl Weathers,  Jesse Ventura,  Elpidia Carrillo",John McTiernan,84725.0,"Dutch (Arnold Schwarzenegger), a soldier of fortune, is hired by the U.S. government to secretly rescue a group of politicians...","Predator: Part sci-fi, part horror, part action -- all muscle."
The Bourne Ultimatum,2007,92,"Matt Damon,  Julia Stiles,  Joan Allen,  David Strathairn",Paul Greengrass,102829.0,Jason Bourne (Matt Damon) continues his international quest to uncover his true identity. From Russia to Europe to northern Africa...,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy."
Total Recall,1990,82,"Arnold Schwarzenegger,  Rachel Ticotin,  Sharon Stone,  Ronny Cox",Paul Verhoeven,87327.0,Douglas Quaid (Arnold Schwarzenegger) is a bored construction worker in the year 2084 who dreams of visiting the colonized Mars....,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks."
Mad Max 2,1981,94,"Mel Gibson,  Bruce Spence,  Emil Minty,  Vernon Wells",George Miller,97059.0,"After avenging the death of his wife and young son at the hands of a vicious gang leader, Max (Mel...","The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber."
Heat,1995,87,"Al Pacino,  Robert De Niro,  Val Kilmer,  Jon Voight",Michael Mann,92526.0,"Master criminal Neil McCauley (Robert De Niro) is trying to control the rogue actions of one of his men, while...","Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre."
The Raid: Redemption,2011,87,"Iko Uwais,  Joe Taslim,  Doni Alamsyah,  Yayan Ruhian",Gareth Huw Evans,93096.0,"A rookie member of an elite team of commandos, Rama (Iko Uwais) is instructed to hang back while his comrades-in-arms...","No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment."
Mission: Impossible -- Fallout,2018,97,"Tom Cruise,  Henry Cavill,  Ving Rhames,  Simon Pegg",Christopher McQuarrie,123675.0,Ethan Hunt and the IMF team join forces with CIA assassin August Walker to prevent a disaster of epic proportions....,"Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them."
Raiders of the Lost Ark,1981,95,"Harrison Ford,  Karen Allen,  Paul Freeman,  Wolf Kahler",Steven Spielberg,102282.0,"Dr. Indiana Jones, a renowned archeologist and expert in the occult, is hired by the U.S. Government to find the...","Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time."
Aliens,1986,97,"Sigourney Weaver,  Carrie Henn,  Michael Biehn,  Paul Reiser",James Cameron,104618.0,"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team....","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver."
Hard-Boiled,1992,94,"Chow Yun-Fat,  Bowie Lam,  Philip Chan,  Tony Leung Chiu Wai",John Woo,96461.0,A cop who loses his partner in a shoot-out with gun smugglers goes on a mission to catch them. In...,"Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one."
The Matrix,1999,88,"Keanu Reeves,  Laurence Fishburne,  Carrie-Anne Moss,  Hugo Weaving",Andy Wachowski,93942.0,"Neo (Keanu Reeves) believes that Morpheus (Laurence Fishburne), an elusive figure considered to be the most dangerous man alive, can...","Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects."
Terminator 2: Judgment Day,1991,93,"Arnold Schwarzenegger,  Linda Hamilton,  Edward Furlong,  Robert Patrick",James Cameron,98365.0,"In this sequel set eleven years after ""The Terminator,"" young John Connor (Edward Furlong), the key to civilization's victory over...","T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters."
Die Hard,1988,94,"Bruce Willis,  Alan Rickman,  Bonnie Bedelia,  Reginald VelJohnson",John McTiernan,100303.0,New York City policeman John McClane (Bruce Willis) is visiting his estranged wife (Bonnie Bedelia) and two daughters on Christmas...,Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.
Mad Max: Fury Road,2015,97,"Tom Hardy,  Charlize Theron,  Nicholas Hoult,  Hugh Keays-Byrne",George Miller,114341.0,"Years after the collapse of civilization, the tyrannical Immortan Joe enslaves apocalypse survivors inside the desert fortress the Citadel. When...","With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life."
